sampleID,max_prob,prediction
TCGA.V4.A9EW.UVM.C3,0.9986071,4
TCGA.CD.8535.STAD.C4,0.96859366,2
TCGA.AA.3514.COAD.C1,0.99753475,2
TCGA.EK.A2RN.CESC.C4,0.9547054,2
TCGA.AN.A0XW.BRCA.C1,0.5298711,6
TCGA.BF.A1PU.SKCM.C1,0.69314295,4
TCGA.DD.A4NJ.LIHC.C3,0.7822047,4
TCGA.P3.A6SX.HNSC.C2,0.6427184,1
TCGA.F5.6571.READ.C3,0.91766965,1
TCGA.EY.A1GH.UCEC.C2,0.74760467,4
TCGA.BJ.A192.THCA.C4,0.8567425,3
TCGA.E9.A1N4.BRCA.C6,0.89142984,3
TCGA.55.8092.LUAD.C2,0.6798127,3
TCGA.S6.A8JX.TGCT.C1,0.6133771,4
TCGA.BG.A0W1.UCEC.C4,0.41738886,3
TCGA.PT.A8TR.SARC.C4,0.96607244,3
TCGA.DS.A1OC.CESC.C2,0.76893127,1
TCGA.C5.A2M2.CESC.C4,0.9445666,1
TCGA.E9.A226.BRCA.C2,0.84129506,4
TCGA.CC.A8HS.LIHC.C3,0.9396098,4
TCGA.QT.A5XJ.PCPG.C3,0.57756925,4
TCGA.AG.3586.READ.C2,0.720181,1
TCGA.V1.A8WL.PRAD.C2,0.7422468,3
TCGA.75.5126.LUAD.C4,0.98289263,2
TCGA.V4.A9EU.UVM.C3,0.99664897,4
TCGA.55.A494.LUAD.C3,0.6336226,1
TCGA.A2.A0CZ.BRCA.C3,0.8689004,6
TCGA.05.4417.LUAD.C3,0.8998114,6
TCGA.BQ.7046.KIRP.C3,0.7238417,4
TCGA.BH.A1FG.BRCA.C2,0.94701856,4
TCGA.OR.A5K1.ACC.C3,0.5570692,4
TCGA.DJ.A13W.THCA.C4,0.9999658,3
TCGA.KL.8339.KICH.C4,0.5309184,3
TCGA.XD.AAUL.PAAD.C1,0.66660917,6
TCGA.AR.A24M.BRCA.C6,0.77230877,3
TCGA.J2.8192.LUAD.C3,0.8970124,6
TCGA.IB.7651.PAAD.C2,0.7747545,6
TCGA.LK.A4NW.MESO.C2,0.817542,1
TCGA.SY.A9G0.BLCA.C3,0.7144169,1
TCGA.AA.3862.COAD.C2,0.5745802,1
TCGA.KL.8324.KICH.C4,0.98690295,3
TCGA.DK.AA76.BLCA.C4,0.83083814,1
TCGA.BH.A0H7.BRCA.C2,0.7919589,1
TCGA.S7.A7WN.PCPG.C3,0.74080396,4
TCGA.AM.5820.COAD.C4,0.8264974,1
TCGA.O8.A75V.LIHC.C3,0.6159342,2
TCGA.ED.A7PY.LIHC.C3,0.98771614,4
TCGA.DD.A4NH.LIHC.C3,0.976113,4
TCGA.VW.A7QS.LGG.C4,0.5543551,5
TCGA.TP.A8TV.PRAD.C3,0.8815575,4
TCGA.A2.A1FW.BRCA.C4,0.9141878,2
TCGA.75.6207.LUAD.C2,0.82444847,4
TCGA.A2.A259.BRCA.C1,0.915969,3
TCGA.AR.A24T.BRCA.C6,0.8007712,1
TCGA.DX.A6B7.SARC.C3,0.9822364,4
TCGA.CZ.4866.KIRC.C3,0.5469533,4
TCGA.X6.A7WA.SARC.C3,0.7478995,4
TCGA.S9.A6UA.LGG.C3,0.99541795,4
TCGA.US.A779.PAAD.C1,0.5972819,3
TCGA.99.8033.LUAD.C1,0.8370178,2
TCGA.56.7822.LUSC.C1,0.5615713,2
TCGA.33.4582.LUSC.C2,0.52415985,1
TCGA.A2.A0T1.BRCA.C1,0.88097954,2
TCGA.3A.A9IU.PAAD.C2,0.9984559,1
TCGA.OL.A97C.BRCA.C1,0.8225946,3
TCGA.A2.A0CK.BRCA.C1,0.77835715,3
TCGA.AC.A2QH.BRCA.C4,0.6672116,1
TCGA.AA.3534.COAD.C1,0.9119779,3
TCGA.W5.AA2Z.CHOL.C6,0.7276719,3
TCGA.2L.AAQI.PAAD.C1,0.39957774,6
TCGA.BH.A0HK.BRCA.C1,0.5610485,3
TCGA.YG.AA3N.SKCM.C3,0.8724386,2
TCGA.2Y.A9H2.LIHC.C3,0.6758635,4
TCGA.G9.6377.PRAD.C1,0.66386795,3
TCGA.IN.7806.STAD.C3,0.88837874,1
TCGA.AR.A1AV.BRCA.C4,0.94187593,1
TCGA.DX.A7EI.SARC.C2,0.956726,1
TCGA.UD.AAC4.MESO.C1,0.44577926,4
TCGA.86.A4D0.LUAD.C2,0.7812325,1
TCGA.BR.7901.STAD.C1,0.9932114,2
TCGA.FR.A726.SKCM.C4,0.5760657,1
TCGA.MK.A4N6.THCA.C6,0.746558,3
TCGA.QR.A70V.PCPG.C5,0.8823386,4
TCGA.AN.A0FV.BRCA.C4,0.5140943,1
TCGA.WB.A81I.PCPG.C3,0.9732159,5
TCGA.Z7.A8R5.BRCA.C1,0.9482217,3
TCGA.68.8250.LUSC.C1,0.9761998,2
TCGA.FX.A2QS.SARC.C6,0.65393573,1
